id,standard,chapter_number,chapter_name,major_topic,subtopic,concept_tested,stem,option_a,option_b,option_c,option_d,correct_option,correct_answer_text,solution,formula_principle,common_misconception,difficulty,estimated_time,question_type,source_type,concept_family_id,family_size,syllabus_scope_status,generator_eligible_strict_cet,generator_eligible_extended_revision,review_status,syllabus_version,release_version
PHY-11-CH01-0021,11,1,Measurements,Dimensions,Dimensional formulae,Power,The dimensional formula of power is,[M L^2 T^-2],[M L^2 T^-3],[M L T^-3],[M L^2 T^-1],B,[M L^2 T^-3],Power = work / time = [M L^2 T^-2] / [T] = [M L^2 T^-3].,P = W / t,Forgetting the extra time factor that distinguishes power from energy.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-eb666577,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0022,11,1,Measurements,Dimensions,Dimensional formulae,Pressure,The dimensional formula of pressure is,[M L^-1 T^-2],[M L T^-2],[M L^2 T^-2],[M L^-1 T^-1],A,[M L^-1 T^-2],Pressure = force / area = [M L T^-2] / [L^2] = [M L^-1 T^-2].,P = F / A,Forgetting to divide the force dimensions by area.,Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-7a5c0879,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0023,11,1,Measurements,Dimensions,Dimensional formulae,Torque,Which physical quantity has the dimensional formula [M L^2 T^-2]?,Torque,Linear momentum,Power,Force,A,Torque,"Torque = r x F = [L][M L T^-2] = [M L^2 T^-2], the same as energy.",Torque = force x perpendicular distance,Not realising torque shares its dimensions with work and energy.,Hard,60 to 90 seconds,Conceptual Trap,ORIGINAL,CF-a57b441e,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0024,11,1,Measurements,Dimensions,Dimensional equivalence,Impulse and momentum,Which pair of quantities has the same dimensional formula?,Impulse and momentum,Work and power,Force and energy,Pressure and force,A,Impulse and momentum,"Impulse = F t = [M L T^-2][T] = [M L T^-1], identical to momentum [M L T^-1].",Impulse = change in momentum,Assuming work and power are dimensionally the same.,Hard,60 to 90 seconds,Comparison Based,ORIGINAL,CF-0ae96339,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0025,11,1,Measurements,Dimensions,Dimensional formulae,Gravitational constant,The dimensional formula of the universal gravitational constant G is,[M L^3 T^-2],[M^-1 L^2 T^-2],[M^-1 L^3 T^-2],[M L^2 T^-2],C,[M^-1 L^3 T^-2],G = F r^2 / (m1 m2) = [M L T^-2][L^2] / [M^2] = [M^-1 L^3 T^-2].,F = G m1 m2 / r^2,Forgetting to invert the mass dimension when solving for G.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-6c704860,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0026,11,1,Measurements,Dimensions,Dimensional formulae,Planck's constant,The dimensional formula of Planck's constant is,[M L^2 T^-1],[M L^2 T^-2],[M L T^-1],[M L^2 T^-3],A,[M L^2 T^-1],"h = E / nu = [M L^2 T^-2] / [T^-1] = [M L^2 T^-1], the same as angular momentum.",E = h nu,Treating Planck's constant as if it had the dimensions of energy.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-69a95b5b,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0027,11,1,Measurements,Dimensions,Dimensional formulae,Coefficient of viscosity,The dimensional formula of the coefficient of viscosity is,[M L^-1 T^-2],[M L T^-1],[M L^-1 T^-1],[M L^2 T^-1],C,[M L^-1 T^-1],"From F = 6 pi eta r v, eta = F / (r v) = [M L T^-2] / ([L][L T^-1]) = [M L^-1 T^-1].",F = 6 pi eta r v (Stokes' law),"Confusing the coefficient of viscosity with pressure, which is [M L^-1 T^-2].",Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-7af01d0b,2,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0028,11,1,Measurements,Dimensions,Dimensional formulae,Surface tension,The dimensional formula of surface tension is,[M L T^-2],[M L^-1 T^-2],[M L^2 T^-2],[M T^-2],D,[M T^-2],Surface tension = force per unit length = [M L T^-2] / [L] = [M T^-2].,Surface tension = Force / length,"Forgetting to divide force by length, giving force dimensions instead.",Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-141b44fd,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0029,11,1,Measurements,Dimensions,Dimensional formulae,Frequency,The dimensional formula of frequency is,[M^0 L^0 T],[M L T^-1],[M^0 L^0 T^-2],[M^0 L^0 T^-1],D,[M^0 L^0 T^-1],"Frequency = 1 / period = [T^-1], a purely temporal dimension.",f = 1 / T,Writing time dimension [T] instead of its reciprocal [T^-1].,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-66a39366,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0030,11,1,Measurements,Dimensions,Dimensional formulae,Angular velocity,The dimensional formula of angular velocity is,[M^0 L T^-1],[M^0 L^0 T^-2],[M L^0 T^-1],[M^0 L^0 T^-1],D,[M^0 L^0 T^-1],"Angular velocity = angle / time; angle is dimensionless, so omega = [T^-1].",omega = angle / time,Treating the radian as if it carried a length dimension.,Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-66915e4f,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0031,11,1,Measurements,Dimensions,Dimensionless quantities,Strain,Which of the following quantities is dimensionless?,Velocity,Density,Strain,Force,C,Strain,"Strain is a ratio of two like quantities (for example change in length over original length), so it is dimensionless.",Strain = change in dimension / original dimension,Assuming every physical quantity must have non-zero dimensions.,Hard,30 to 60 seconds,Conceptual Trap,ORIGINAL,CF-67ff52df,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0032,11,1,Measurements,Dimensions,Dimensional formulae,Momentum,The dimensional formula of linear momentum is,[M L T^-2],[M L^2 T^-1],[M L^2 T^-2],[M L T^-1],D,[M L T^-1],Momentum = mass x velocity = [M][L T^-1] = [M L T^-1].,p = m v,Confusing momentum [M L T^-1] with force [M L T^-2].,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-7ca20cfc,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0033,11,1,Measurements,Dimensions,Dimensional equivalence,Young's modulus,Which of the following has the dimensional formula [M L^-1 T^-2]?,Surface tension,Young's modulus,Force,Power,B,Young's modulus,"Young's modulus has the dimensions of stress (pressure) since strain is dimensionless, giving [M L^-1 T^-2].",Young's modulus = stress / strain,"Not recognising that stress, pressure and Young's modulus share dimensions.",Hard,30 to 60 seconds,Conceptual Trap,ORIGINAL,CF-2fe9349a,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0034,11,1,Measurements,Dimensions,Dimensional formulae,Electric charge,"Taking current as a base quantity, the dimensional formula of electric charge is",[A T^-1],[A^-1 T],[A T^2],[A T],D,[A T],Charge = current x time = [A][T] = [A T].,q = I t,"Dividing by time instead of multiplying, giving [A T^-1].",Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-781e3e4b,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0035,11,1,Measurements,Dimensions,Dimensional formulae,Permittivity,The dimensional formula of the permittivity of free space is,[M^-1 L^-3 T^2 A^2],[M L^3 T^-4 A^-2],[M^-1 L^-2 T^4 A^2],[M^-1 L^-3 T^4 A^2],D,[M^-1 L^-3 T^4 A^2],eps0 = q^2 / (F r^2) = [A T]^2 / ([M L T^-2][L^2]) = [M^-1 L^-3 T^4 A^2].,F = q1 q2 / (4 pi eps0 r^2),Errors in tracking the time power when squaring the charge dimension.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-ef19dfcd,4,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0036,11,1,Measurements,Dimensions,Applications,Simple pendulum by dimensions,"Using dimensional analysis, the period T of a simple pendulum depends on its length l and acceleration due to gravity g as",T is proportional to (g/l)^(1/2),T is proportional to l/g,T is proportional to (l/g)^(1/2),T is proportional to l g,C,T is proportional to (l/g)^(1/2),"Assume T proportional to l^a g^b. Matching [T] to [L]^a [L T^-2]^b gives a = 1/2, b = -1/2, so T is proportional to sqrt(l/g).",Homogeneity of dimensions,"Inverting the ratio and writing sqrt(g/l), which has the dimension of frequency.",Hard,60 to 90 seconds,Application Based,ORIGINAL,CF-871fd208,3,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0037,11,1,Measurements,Dimensions,Applications,Speed of sound by dimensions,The speed v of sound in a medium is assumed to depend on pressure P and density rho. Dimensional analysis gives,v is proportional to P/rho,v is proportional to (P/rho)^(1/2),v is proportional to (rho/P)^(1/2),v is proportional to P rho,B,v is proportional to (P/rho)^(1/2),"Assume v proportional to P^a rho^b. Matching [L T^-1] to [M L^-1 T^-2]^a [M L^-3]^b gives a = 1/2, b = -1/2, so v is proportional to sqrt(P/rho).",Homogeneity of dimensions,"Choosing the inverted ratio sqrt(rho/P), which gives the reciprocal of speed.",Challenging,More than 90 seconds,Application Based,ORIGINAL,CF-e1140387,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0038,11,1,Measurements,Dimensions,Limitations,What dimensional analysis cannot do,Dimensional analysis alone cannot determine,whether a given equation is dimensionally consistent,the value of a dimensionless constant in a formula,the dimensions of a derived physical quantity,a conversion factor between two systems of units,B,the value of a dimensionless constant in a formula,"Dimensional analysis cannot fix numerical constants such as 2, pi or 1/2, since they are dimensionless.",Limitations of dimensional analysis,Believing dimensional analysis yields the complete formula including constants.,Medium,30 to 60 seconds,Direct Concept,ORIGINAL,CF-528d01d5,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0039,11,1,Measurements,Dimensions,Principle of homogeneity,Statement,The principle of homogeneity of dimensions states that,all physical quantities in an equation must be dimensionless,the two sides of an equation may differ only by a constant of different dimensions,only the largest term in an equation need be dimensionally consistent,every term on both sides of a valid physical equation has the same dimensions,D,every term on both sides of a valid physical equation has the same dimensions,"For an equation to be physically valid, each additive term must carry identical dimensions.",Principle of homogeneity,"Thinking only the two whole sides, not each individual term, must match.",Medium,30 to 60 seconds,Statement Based,ORIGINAL,CF-6234895e,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0040,11,1,Measurements,Dimensions,Applications,van der Waals constant a,"In the van der Waals equation (P + a/V^2)(V - b) = RT, the dimensional formula of the constant a is",[M L^5 T^-2],[M L^-1 T^-2],[M L^5 T^-1],[M L^2 T^-2],A,[M L^5 T^-2],"Since a/V^2 must have the dimensions of pressure, a = P V^2 = [M L^-1 T^-2][L^3]^2 = [M L^5 T^-2].",Homogeneity: a/V^2 has dimensions of pressure,"Forgetting that V^2 carries [L^6], and stopping at pressure dimensions.",Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-ac3a81b3,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0041,11,1,Measurements,Dimensions,Dimensionless quantities,Odd one out,Which of the following quantities is NOT dimensionless?,refractive index,strain,relative velocity,plane angle,C,relative velocity,Relative velocity has dimensions [L T^-1]; the other three are pure ratios and are dimensionless.,Dimensionless ratios,Assuming anything called a 'velocity' ratio must be dimensionless.,Medium,30 to 60 seconds,Conceptual Trap,ORIGINAL,CF-2d810a12,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0042,11,1,Measurements,Dimensions,Change of base quantities,"Mass in F, v, T","If force F, velocity v and time T are taken as fundamental quantities, the dimensional formula of mass is",[F v T],[F v^-1 T],[F v^-1 T^-1],[F v T^-1],B,[F v^-1 T],"From F = m v / T, mass m = F T / v = [F v^-1 T].",F = m a = m v / T,Rearranging F = m v / T incorrectly and misplacing the time factor.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-9f81a349,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0043,11,1,Measurements,Dimensions,Change of base quantities,"Surface tension in E, v, T","If energy E, velocity v and time T are the fundamental quantities, the dimensional formula of surface tension is",[E v^-2 T^-1],[E v^-2 T^-2],[E v^-1 T^-2],[E v^-2 T^2],B,[E v^-2 T^-2],Length L = v T and mass M = E v^-2 (from E = M L^2 T^-2). Surface tension = M T^-2 = E v^-2 T^-2.,"Express M and L via E, v, T",Failing to substitute both L = vT and M = E v^-2 before simplifying.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-da14a950,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0044,11,1,Measurements,Dimensions,Dimensional formulae,Boltzmann constant,The dimensional formula of the Boltzmann constant is,[M L^2 T^-2],[M L^2 T^-3 K^-1],[M L^2 T^-2 K^-1],[M L^2 T^-1 K^-1],C,[M L^2 T^-2 K^-1],"From E = k T, k = E / T(temperature) = [M L^2 T^-2] / [K] = [M L^2 T^-2 K^-1].",E = k T,Omitting the temperature dimension when dividing energy by temperature.,Hard,60 to 90 seconds,Formula Based,ORIGINAL,CF-3fa74f35,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0045,11,1,Measurements,Dimensions,Dimensional formulae,Thermal conductivity,The dimensional formula of coefficient of thermal conductivity is,[M L^2 T^-3 K^-1],[M L T^-3 K^-1],[M L T^-2 K^-1],[M L^-1 T^-3 K^-1],B,[M L T^-3 K^-1],k = Q x / (A dT t) = [M L^2 T^-2][L] / ([L^2][K][T]) = [M L T^-3 K^-1].,Q = k A (dT/dx) t,Mishandling the length factors from area and thickness.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-90bec560,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0046,11,1,Measurements,Dimensions,Dimensional equivalence,Different dimensions pair,Which pair of quantities does NOT have the same dimensions?,work and torque,pressure and stress,force and surface tension,angular momentum and Planck's constant,C,force and surface tension,Force is [M L T^-2] while surface tension is [M T^-2]; they differ by a length factor. The other pairs match.,Compare dimensional formulae,Assuming force and surface tension match because both involve force.,Hard,60 to 90 seconds,Comparison Based,ORIGINAL,CF-80575928,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0047,11,1,Measurements,Dimensions,Dimensional formulae,Electric field,The dimensional formula of electric field intensity is,[M L T^-2 A^-1],[M L T^-3 A^-1],[M L^2 T^-3 A^-1],[M L T^-3 A],B,[M L T^-3 A^-1],E = force / charge = [M L T^-2] / [A T] = [M L T^-3 A^-1].,E = F / q,Forgetting the extra time factor introduced by dividing by charge [A T].,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-adace127,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0048,11,1,Measurements,Dimensions,Dimensional formulae,Capacitance,The dimensional formula of electrical capacitance is,[M^-1 L^-2 T^2 A^2],[M L^2 T^-4 A^-2],[M^-1 L^-2 T^4 A],[M^-1 L^-2 T^4 A^2],D,[M^-1 L^-2 T^4 A^2],C = Q / V = [A T] / [M L^2 T^-3 A^-1] = [M^-1 L^-2 T^4 A^2].,C = Q / V,Errors in dividing charge dimensions by potential difference dimensions.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-b1b46aac,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0049,11,1,Measurements,Significant Figures,Counting significant figures,Leading zeros,The number of significant figures in 0.00340 is,2,3,5,6,B,3,"Leading zeros are not significant; the significant figures are 3, 4 and the trailing 0, giving 3.",Rules for significant figures,Counting leading zeros as significant figures.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-a24d861d,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0050,11,1,Measurements,Significant Figures,Counting significant figures,Sandwiched and trailing zeros,The number of significant figures in 0.06900 is,3,5,4,2,C,4,"Leading zeros do not count; 6, 9 and the two trailing zeros are significant, giving 4.",Rules for significant figures,Dropping the significant trailing zeros after the decimal point.,Medium,Under 30 seconds,Direct Concept,ORIGINAL,CF-c9a82ce1,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0051,11,1,Measurements,Significant Figures,Counting significant figures,Embedded zeros,The number of significant figures in 2.0035 is,4,5,3,6,B,5,"All digits including the zeros trapped between non-zero digits are significant, so there are 5.",Rules for significant figures,Ignoring zeros that lie between non-zero digits.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-3abac8f5,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH01-0052,11,1,Measurements,Significant Figures,Counting significant figures,Trailing zeros with decimal,The number of significant figures in 100.00 is,2,5,3,1,B,5,"When a decimal point is present, trailing zeros are significant, so 100.00 has 5 significant figures.",Rules for significant figures,Treating the trailing zeros as placeholders even though a decimal point is shown.,Medium,Under 30 seconds,Direct Concept,ORIGINAL,CF-769ced64,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
